artist,role,text
Cardi B,rapper,"On November 30, 2018, Cardi B was honored at Ebony's annual Power 100 Gala. Cardi ranked fifth on the 2018 Billboard Year-End Top Artists chart, while Invasion of Privacy ranked sixth. She achieved the most-streamed album of the year by a female artist globally in Apple Music, and ranked as the most streamed female artist of the year in the United States in Spotify. Editorial staff from Apple Music and Billboard named ""I Like It"" the best song of 2018, while Time magazine and Rolling Stone named Invasion of Privacy the best album of the year. Also in 2018, Time included her on their annual list of the 100 most influential people in the world. In its decade-end review article, NME stated that the era secured ""her crown as the new Queen of Rap."""
Cardi B,rapper,"=== 2019–2020: Hustlers, Rhythm + Flow and ""WAP"" ==="
Cardi B,rapper,"Cardi B received five nominations at the 61st Grammy Awards, including for Album of the Year, Best Rap Album and Record of the Year (""I Like It""). She became the third female rapper to be nominated for Album of the Year, following Lauryn Hill (1999) and Missy Elliott (2004). On February 10, 2019, she then performed at the award ceremony, where she wore three vintage Thierry Mugler couture looks during the telecast and became the first female rapper to win Best Rap Album as a solo artist."
Cardi B,rapper,"Cardi B led the 2019 Billboard Music Awards nominations, with 21, earning the most nominations in a single year by a female artist and the third most nominations in a year (behind Drake and The Chainsmokers, who both had 22 in a year). She ended up winning six awards, including for Top Hot 100 Song, bringing her career total wins to seven—the most of any female rapper in history. An article by Omaha World-Herald called her ""the biggest rapper in the world."""
Cardi B,rapper,"On February 15, 2019, Cardi B released ""Please Me"", a collaboration with Bruno Mars, which became her seventh top-ten song on the Hot 100, reaching number three. The song marked Cardi and Bruno's second collaboration, following ""Finesse"" in 2018. The official music video was released two weeks later. On March 1, Cardi set a new attendance record at the Houston Livestock Show and Rodeo, with 75,580 fans in the audience. With ""Backin' It Up"", ""Twerk"" and ""Money"", Cardi became the first female artist to occupy the top three on the Billboard Mainstream R&B/Hip-Hop airplay chart."
Cardi B,rapper,"Her following single titled ""Press"" was released on May 31, 2019. The parental-advisory labeled music video marked her directorial debut—being credited as co-director, and was released on June 26, 2019. It had its debut performance at the 2019 BET Awards, where she received the most nominations with seven, and won Album of the Year. During the summer of 2019, she embarked on an arena tour. In September, she led the BET Hip Hop Awards nominations with ten."
Cardi B,rapper,"Cardi B made her film debut in Hustlers directed by Lorene Scafaria, opposite Jennifer Lopez, Constance Wu, and Lili Reinhart. The film was released on September 13, 2019. Cardi B, along with Chance the Rapper and T.I., were confirmed as judges for the Netflix series Rhythm + Flow, a ten-part hip-hop talent search that premiered on October 9, 2019, which she also executive produced."
Cardi B,rapper,"In December 2019, Cardi B embarked on her first tour of Africa, performing in Nigeria and Ghana. Her collaboration ""Clout"" was nominated for a Grammy Award for Best Rap Performance. She was the most streamed female rapper of 2019 in the US, according to Spotify. Consequence of Sound deemed her ""one of the most formidable hip-hop artists of the decade."" In March 2020, Cardi B created a reaction video about the coronavirus pandemic. DJ iMarkkeyz, a Brooklyn DJ known for turning memes and online moments into full-length songs, created a track, based on her reaction titled ""Coronavirus"", which became an internet meme and was released to music platforms. Netflix announced the return of Rhythm + Flow for 2021."
Cardi B,rapper,"Cardi B released the single ""WAP"" featuring American rapper Megan Thee Stallion on August 7, 2020, as the lead single off her forthcoming second studio album. The song received critical acclaim and was praised for its sex positive messages. The Colin Tilley-directed music video accompanied the song itself, and broke the record for the biggest 24-hour debut for an all-female collaboration on YouTube. She became the only female rap artist to top the Global Spotify chart multiple times. ""WAP"" debuted at number-one on the Billboard Hot 100 chart, garnering Cardi B her fourth chart-topper in the US, extending her record as the female rapper with the most number-one singles, and also making her the first female rapper to achieve Hot 100 number one singles in two different decades (2010s and 2020s)."
Cardi B,rapper,"With 93 million streaming units, it became the largest first-week streams for a song, breaking the all-time record held by Ariana Grande's ""7 Rings"". It has spent four weeks atop the Hot 100. The single has also spent multiple weeks at number one in seven other countries, including Australia and the United Kingdom. Neil Shah of The Wall Street Journal deemed it ""a big moment for female rappers"" and ""a historic sign that women artists are making their mark on hip-hop like never before"". ""WAP"" became the first number one single on the inaugural Billboard Global 200 chart."
Cardi B,rapper,"It became critics' best song of the year according to a compilation of rankings made by the BBC, with publications such as Pitchfork and Rolling Stone placing it at number one. Cardi B won the Billboard Music Award for Top Rap Female Artist for the third time at the 2020 ceremony. In December 2020, Cardi B became the first female rapper to be named Woman of the Year at the Billboard Women in Music Awards. With her win for ""WAP"" at the American Music Awards, she became the first artist to win the American Music Award for Favorite Rap/Hip-Hop Song multiple times, following her win for ""Bodak Yellow"" in 2018."
Cardi B,rapper,=== 2021–present: Upcoming second studio album ===
Cardi B,rapper,"On February 5, 2021, Cardi B released ""Up"", the second single from her upcoming studio album. A music video for the single was released alongside it. The song was praised by NME magazine for its lyricism and fresh approach as a successor to ""WAP"". ""Up"" debuted at number two on the US Billboard Hot 100 chart, marking the highest debut for a solo female rap song since Lauryn Hill's ""Doo Wop (That Thing)"" in 1998. The song debuted at number one on the Rolling Stone Top 100, becoming both Cardi B's second number-one single and second number-one debut, as well as the first time a female rapper debuts atop the chart with a solo song. Cardi B became the first female artist and first lead artist with consecutive number-one debuts on the US Hot R&B/Hip-Hop Songs chart, and second overall performer following Drake in 2016. ""Up"" reached number one on the Billboard Hot 100 after her Grammy Awards performance, making her the only female rapper to reach number one multiple times with solo songs, following ""Bodak Yellow"", and extended her record as the female rapper with the most number-one songs on the Hot 100 as her fifth chart-topper. Cardi B received a second nomination for the Brit Award for International Female Solo Artist."
Cardi B,rapper,"Cardi B made a last-minute appearance in ""Big Paper"", from DJ Khaled's album Khaled Khaled released on April 30, 2021. Cardi received two nominations for the BET Award for Video of the Year, for the videos ""Up"" and ""WAP"", winning for the latter and becoming the first female rapper to win Video of the Year as a lead artist. This became the 10th time that an artist has had two nominated videos in this category as a lead artist, and the second time for her, following her nominations for ""Money"" and ""Please Me"" in 2019."
Cardi B,rapper,"She announced her second pregnancy during the performance of her Migos collaboration ""Type Shit"" at the 2021 ceremony. She also appeared in F9, which was released on June 25, 2021, by Universal Pictures. On July 16, 2021, Cardi B was featured on the Normani single ""Wild Side"". Cardi collaborated with Lizzo on ""Rumors"", which debuted at number four on the Billboard Hot 100, becoming Cardi B's tenth top 10 single on the chart, and her seventh number-one on the Hot R&B/Hip-Hop Songs chart."
Cardi B,rapper,"Cardi B received six nominations at the 2021 MTV Video Music Awards, including her second nomination for Video of the Year. She also led the nominations for the 2021 BET Hip Hop Awards along with Megan Thee Stallion, with nine each; both rappers won the most awards during the ceremony with three for ""WAP"", with Cardi becoming the first female artist to win Best Hip Hop Video twice (2019 and 2021)."
Cardi B,rapper,"On October 28, 2021, Cardi B previewed her second album to Atlantic Records via her Instagram Story. She captioned ""The money people liking the album sounds"". On November 2, Cardi B was announced as the host of the 2021 American Music Awards (AMAs). The award show was held at the Microsoft Theater in Los Angeles on November 21, and marked the most social telecast of the year per interactions across social media. During the ceremony, ""Up"" won the award for Favorite Hip Hop Song, making Cardi B the first artist to win the category three times. Cardi B featured on Summer Walker's 2021 album Still Over It on the opening track ""Bitter"". Warner Records released the soundtrack for Halle Berry's directorial debut film Bruised on November 19. Selected by executive producers Berry and Cardi B, the Netflix film's soundtrack features six original songs by female artists, including Cardi, H.E.R., City Girls, Flo Milli, Saweetie, and Latto, and seven additional female rap songs inspired by the film."
Cardi B,rapper,"In March 2022, Cardi B appeared on the extended version of Summer Walker and SZA's collaboration, ""No Love"". The following month, she featured on rapper Kay Flock's song, ""Shake It""; it samples Akon's 2005 song ""Belly Dancer (Bananza)"". Also in April, Cardi guest-voiced as Sharki B, her ""aquatic alter ego"", on ""The Seaweed Sway"" episode of the Nickelodeon animated series Baby Shark's Big Show!—and performed a song of the same name. She appeared alongside Offset and her daughter. On July 1, 2022, Cardi B released ""Hot Shit"", featuring rappers Kanye West and Lil Durk, as the third single from her upcoming second studio album. The song was first announced during a BET Awards 2022 commercial break.  On July 8 and 9, she headlined the 2022 Wireless Festival in London and Birmingham. Cardi B worked with cousin and fellow rapper GloRilla on the remix to her song ""Tomorrow"", titled ""Tomorrow 2"", which was released in September 2022. The remix peaked at number nine on the Billboard Hot 100, becoming Cardi's eleventh top-ten single. HipHopDX listed it as the ""Best Hip-Hop Collaboration"" of 2022 while it was also the highest-listed song by a female rapper on Billboard's 100 Best Songs of 2022 list. On October 1, Cardi B made a surprise appearance at the Inglewood show of Puerto Rican rapper Bad Bunny's concert tour, the World's Hottest Tour. In November, she signed with entertainment executive Irving Azoff's Full Stop Management. In December 2022, she gave a 35-minute private performance at the Miami Art Basel for which she was paid $1 million. Later that month, a remix of Spanish artist Rosalía's song ""Despechá"" featuring Cardi, was released."
Cardi B,rapper,"Cardi B appeared as a surprise performer at the New York City shows of SZA and GloRilla's tours: the SOS Tour and Anyways, Life's Great Tour, in early 2023. In April, she served as one of three headliners of the inaugural Rolling Loud Thailand festival in Pattaya, along with Travis Scott and Chris Brown. In June, she featured on ""Put It on da Floor Again"", the remix to rapper Latto's ""Put It on da Floor"". It peaked at number 13 on the Hot 100, becoming Cardi's 20th top-twenty single. On June 4, Cardi B headlined the 2023 Summer Jam festival in Elmont, New York. ln July, she featured on ""Point Me 2"", the remix to drill rapper FendiDa Rappa's single ""Point Me to the Slut's"". Later that month, she collaborated with Offset on two tracks of his second solo album, Set It Off (2023): ""Freaky"" and ""Jealousy"". The latter was released as the lead single of the record; it samples Three 6 Mafia's ""Jealous Ass Bitches"". Cardi released ""Bongos"" featuring Megan Thee Stallion on September 8, 2023, as the fourth single of her upcoming second studio album. The song marks the pair's second collaboration after ""WAP"" (2020). The music video, directed by Tanu Muino, cost over $2 million. ""Bongos"" reached number 14 in the US. Cardi led the 2023 BET Hip Hop Awards nominations with 21 Savage, with twelve each. She reprised her voice role as Sharki B for the children's animated film, Baby Shark's Big Movie!, in which ch she appeared alongside Offset and their two children. It premiered in December on Paramount+ and Nickelodeon. Cardi B co-headlined TikTok's inaugural In the Mix festival on December 10 in Mesa, Arizona, which was released as a concert special on Disney+ and Hulu on December 15. She performed at the Fontainebleau Miami Beach, accompanied by DJ Gryffin, on December 31, 2023, which aired live for the 2024 edition of Dick Clark's New Year's Rockin' Eve."
Cardi B,rapper,"She released the promotional single ""Like What (Freestyle)"" on March 1, 2024, with an accompanying music video directed by Offset. Her first solo song since ""Up"" (2021), it is a freestyle of rapper Missy Elliot's ""She's a Bitch"" (1999). The track reached the top 40 in the US and became Cardi's 19th top-ten and 11th chart-topper on Hot Rap Songs and Hot Rap Digital Songs. It was followed by ""Enough (Miami)"" on March 15, which marked her 12th top-ten on the Hot 100 and seventh number-one on the Digital Songs chart. A remix of Flo Milli's ""Never Lose Me"" was released on the same day, featuring SZA and Cardi B. On March 11, Cardi joined Madonna onstage for a guest appearance at the Inglewood show of her Celebration Tour. She appeared on ""Puntería"" with Shakira, the opening track and eighth single of the latter's twelfth album Las Mujeres Ya No Lloran, released on March 22, 2024. ""Puntería"" reached number one on the Latin Airplay chart and topped the Latin Pop Airplay chart for nine weeks. On May 21, Cardi B appeared as a surprise performer at the Madison Square Garden show of Megan Thee Stallion's Hot Girl Summer Tour. She featured on the remix of Thee Stallion and GloRilla's ""Wanna Be"", released on May 31. In June, Cardi featured on ""Put Em in the Fridge"" from Peso Pluma's fourth album Éxodo. She co-headlined the BET Experience festival at the Crypto.com Arena on June 28. Her collaboration with Rob49, titled ""On Dat Money"", was released on July 19. ""Enough (Miami)"" was nominated for Best Rap Performance at the 67th Annual Grammy Awards."
Cardi B,rapper,"In November 2024, Cardi confirmed that her second studio album would be released in 2025; it was reported to be ""three-quarters of the way done"". Previously set for release in 2023 and 2024, she revealed that she was ""just holding it"" because she felt ""[the record was] missing a couple of things"" and ""gotta make sure that everything is just planned out""."
Cardi B,rapper,== Artistry ==
Cardi B,rapper,=== Influences ===
Cardi B,rapper,"In Billboard's ""You Should Know"" series, Cardi B said the first albums she ever purchased were by American entertainers Missy Elliott and Tweet, respectively. She has credited Puerto Rican rapper Ivy Queen and Jamaican dancehall artist Spice as influences, as well as Beyoncé, Lady Gaga, Lil' Kim, Madonna, and Selena. She has mentioned Chicago drill music as an important influence. When asked about the initial direction for her music, Cardi B said in an interview, ""When I first started rapping [...] I liked certain songs from Khia and Trina, and they [were] fighting songs. I haven't heard fighting songs for a very long time,"" crediting the two female rappers for her aggressive rap style. She continued, saying ""a lot of girls they cannot afford red bottoms, a lot of girls they cannot afford foreign cars [...] but I know that every girl has beef with a girl [...] I know that every bitch don't like some bitch, and it's like 'that's what I wanna rap about.'"" She credits her experiences growing up in the South Bronx for her success, stating: ""I wouldn't be able to rap about the things that I rap about now [if I hadn't grown up there]."""
Cardi B,rapper,=== Musical style ===
Cardi B,rapper,"Her debut studio album, Invasion of Privacy, is primarily a hip hop record, which comprises elements of trap, Latin music, and R&B. Her flow was described as ""acrobatic and nimble"" by Consequence of Sound, and ""aggressive"" by Newsweek and AllMusic. Stereogum called her vocals an ""unabashedly loud and sexual fuck-you New York honk"" and ""a full-bodied New Yawk nasal bleat, the sort of thing that you've heard if someone has ever told you that you stupid for taking too long at swiping your MetroCard."" Pitchfork wrote that her vocal performance in ""WAP"" is in ""her classic throaty style"", while Los Angeles Times characterized it as a ""staccato bark""."
Cardi B,rapper,"NME described her album as ""sexually free"" and performed with ""rapid"" flow. Pitchfork and The Source highlighted the album's punchlines as clever and quotable, and The New York Times called them ""classically comedic"". In a 2017 Complex article, the editor wrote: ""unapologetic does not begin to describe the totally unfiltered and sheer Cardi B-ness of Cardi B's personality. She's a hood chick who's not afraid to be hood no matter the setting ... this is why she resonates with people, and that same energy comes out in her music."" She possesses a New York-Dominican accent."
Cardi B,rapper,"Cardi B has defended her musical content featuring sexually-charged lyrics—like most contemporary female rappers; she stated that the content ""seems like that's what people want to hear"", since she faced negative reactions after releasing her more emotional song, ""Be Careful"". She has declared, ""[Drill music] is the type of artist I always wanted to be: I like to rap about the streets, and I like to rap about my pussy. I don't give a fuck about it."" She has stated that writing and performing songs about her personal life and relationships initially caused her a ""weird and uncomfortable"" feeling and shyness."
Cardi B,rapper,== Other ventures ==
Cardi B,rapper,=== Products and endorsements ===
Cardi B,rapper,"In February 2017, she partnered with M.A.C and Rio Uribe's Gypsy Sport for a New York Fashion Week event. Her April appearance in i-D's ""A-Z of Music"" video was sponsored by designer Marc Jacobs, and she made the cover of The Fader's July/August 2017 Summer Music issue. Tom Ford's Cardi B-inspired lipstick, named after her, was released in September 2018. It sold out within 24 hours. In November, she released a clothing line collection with Fashion Nova. The same month she partnered with Reebok, promoting the brand's Aztrek sneaker. In partnership with Reebok, she released a footwear and apparel collection in 2020, inspired by her personal style and paying homage to ""classic 80s styling"" and motifs. She released her second collection with Reebok in 2021, titled ""Let Me Be...In My World"", comprising sneakers, tracksuits, and corsets, inspired by everyday life in New York City. The third collection with the brand, ""Mommy & Me"", was released in May 2021 in recognition of Mother's Day, which includes Cardi's iteration of Club C shoes for adults, children, and infants. The next, titled ""Let Me Be...Enchanted"" was released in two parts in June and July 2022; it was revealed to be inspired by ""a state of enchantment and euphoria"" and included crop tops, faux fur jackets, and leotards along with footwear. The fifth and final collection, ""Let Me Be...Next Level Energy"", was also released in two parts in September and December 2022, concluding her four-year partnership with Reebok. Inspired by Cardi B's ""unmatched energy"", the collection consisted of bodysuits, crop tops, footwear, leggings,  and woven jackets—of a color palette based on crystals."
Cardi B,rapper,"Cardi B teamed up with Pepsi for three television commercials, which aired during the Super Bowl LIII, the 61st Annual Grammy Awards, and Christmas. In early 2019, Cardi also joined other hip hop artists (including her husband Offset, as part of Migos) in releasing her flavors of snack food Rap Snacks: two flavors of chips, and two of popcorn. The bags' artwork was designed by Jai Manselle and inspired by the cover of Invasion of Privacy."
Cardi B,rapper,"In December 2021, Cardi B partnered with PLBY Group Inc. as creative director in residence for Playboy and founding member of Centerfold, a creator-driven website in the works. The partnership also includes fashion and sexual wellness products."
Cardi B,rapper,"In February 2023, Cardi B and Offset partnered with McDonald's to create the Cardi B and Offset meal, which was launched on Valentine's Day. The meal was first announced in the 2023 McDonald's Super Bowl commercial which the couple appeared in. In October, she fronted the campaign for Skims' Cotton Collection. The campaign generated over $4 million in media impact value (MIV). In December 2023, she made her runway debut at the Balenciaga fall 2024 show in Los Angeles."
Cardi B,rapper,"In February 2024, Cardi B starred in NYX Cosmetics' inaugural Super Bowl commercial for Super Bowl LVIII, titled ""Lips Only"". An edited version of the advert—centered around the company's Duck Plump lip gloss—was broadcast during the commercial break, due to ribald themes of humor. In May 2024, she appeared alongside sprinter Sha'Carri Richardson in a commercial for the 2024 Summer Olympics. In July, Cardi fronted the Marc Jacobs fall 2024 campaign."
Cardi B,rapper,=== Whipshots ===
Cardi B,rapper,"In collaboration with Starco Brands, Cardi B launched a vodka-infused, vegan whipped cream, called Whipshots, in the US in December 2021. It has sold over five million cans as of March 2024."
