id,dttm,topic,text
126284506360578050,2011-10-18T13:12:27Z,apple,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app."
126263834968211440,2011-10-18T11:50:18Z,apple,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
126256230397259760,2011-10-18T11:20:05Z,apple,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
126213333123743740,2011-10-18T08:29:38Z,apple,@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!
126195522691280880,2011-10-18T07:18:51Z,apple,@bkad5161 than apologize to @apple ;)
126183339945234430,2011-10-18T06:30:27Z,apple,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
126180209501286400,2011-10-18T06:18:01Z,apple,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI"
126164430546403330,2011-10-18T05:15:18Z,apple,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
1.2614868573736141e+17,2011-10-18T04:12:45Z,apple,Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple
126140794078892030,2011-10-18T03:41:23Z,apple,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
126134400466419710,2011-10-18T03:15:59Z,apple,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
126130991365500930,2011-10-18T03:02:26Z,apple,you are so blessed. @apple
126116898051076080,2011-10-18T02:06:26Z,apple,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple"
126116614495154160,2011-10-18T02:05:18Z,apple,Well at least the @apple store has amazing call waiting music! #need4s
126112836219973630,2011-10-18T01:50:17Z,apple,#sweet... #apple replaced my glass #probono. thank you @apple
126107965991297020,2011-10-18T01:30:56Z,apple,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
126104732426186750,2011-10-18T01:18:05Z,apple,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology"
126097426493878270,2011-10-18T00:49:03Z,apple,I'm loving this new IOS5 update :) @apple
126095744531832830,2011-10-18T00:42:22Z,apple,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
126084907343691760,2011-10-17T23:59:19Z,apple,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
126079414986485760,2011-10-17T23:37:29Z,apple,hey @apple I hate my computer i need a #mack wanna send me a free one.
126076743613284350,2011-10-17T23:26:52Z,apple,Thank you @apple. My new gf(iphone4s) is great!  She does everything!
126076238375817200,2011-10-17T23:24:52Z,apple,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
126075534894571520,2011-10-17T23:22:04Z,apple,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
126064519943426050,2011-10-17T22:38:18Z,apple,@apple loving the new IOS5 upgrade for the iPhone!
1.2606356966093619e+17,2011-10-17T22:34:31Z,apple,The nice @apple tech support guy fixed my iTouch =D
126063358037340160,2011-10-17T22:33:41Z,apple,Once again getting great customer service from the @apple store at millenia mall.
126059405941809150,2011-10-17T22:17:59Z,apple,Is it just me or is #iOS5 faster for the iPad? @apple
126059399319003120,2011-10-17T22:17:57Z,apple,I love our @apple imac even though I haven't seen my hubby in 3 days now! #geek
126057030996852720,2011-10-17T22:08:32Z,apple,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
126049183865114620,2011-10-17T21:37:21Z,apple,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
126040352237961200,2011-10-17T21:02:16Z,apple,New macbook is too sick @apple
126040074595999740,2011-10-17T21:01:10Z,apple,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
126034495991328770,2011-10-17T20:39:00Z,apple,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
126026756623831040,2011-10-17T20:08:14Z,apple,@Apple Safari Reader owns the worldwide web
126019393460244480,2011-10-17T19:38:59Z,apple,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
126015087386431490,2011-10-17T19:21:52Z,apple,"#10twitterpeopleiwouldliketomeet 
@coollike @TheGadgetShow  @thelittleappkid @Jon4Lakers @BenRubery @Apple @twitter @FXhomeHitFilm  (-2)"
126009748020658160,2011-10-17T19:00:39Z,apple,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
126008369562652670,2011-10-17T18:55:11Z,apple,"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)"
126002597063696380,2011-10-17T18:32:14Z,apple,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
125999676972470270,2011-10-17T18:20:38Z,apple,"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w"
125995158679461890,2011-10-17T18:02:41Z,apple,Yessss! I'm lovin the iPhone update especially the slide down bar at top of screen =) good job @Apple.
125978568726560770,2011-10-17T16:56:46Z,apple,"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!"
125974505385500670,2011-10-17T16:40:37Z,apple,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
125960325437722620,2011-10-17T15:44:16Z,apple,@iancollinsuk @apple I like what you did there...!
125959059957485570,2011-10-17T15:39:14Z,apple,I just sent my grandma a post card using my #CardsApp thanks @Apple
125947912306954240,2011-10-17T14:54:56Z,apple,"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it's still alive."
125947232359948290,2011-10-17T14:52:14Z,apple,Laundering Ari's iPhone not my finest moment. But after drying in bag of (organic :-) rice for 4 days it booted up!!!!!!!!!!! @apple
125943290288803840,2011-10-17T14:36:34Z,apple,"Bravo, @Apple! http://t.co/BgoTzj7K"
125940394566483970,2011-10-17T14:25:04Z,apple,"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)"
125925618486489090,2011-10-17T13:26:21Z,apple,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)
125924446430183420,2011-10-17T13:21:42Z,apple,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
125922999651139580,2011-10-17T13:15:57Z,apple,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
125909565031198720,2011-10-17T12:22:34Z,apple,This good here iPhone will do me VERY well today. Thanks to the gods that are @apple.
125902301931126780,2011-10-17T11:53:42Z,apple,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
125901202591461360,2011-10-17T11:49:20Z,apple,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
125900497327636480,2011-10-17T11:46:32Z,apple,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
125898611572740080,2011-10-17T11:39:02Z,apple,Updated my iOS and started using cloud services. Pretty bad ass @apple my #iPhone 3GS still the champ.
125850288488841200,2011-10-17T08:27:01Z,apple,"Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone"
125840039031738370,2011-10-17T07:46:17Z,apple,@apple your simply the best.
125794931439702e3,2011-10-17T04:47:03Z,apple,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's
1.2572871794216141e+17,2011-10-17T00:23:56Z,apple,"Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness"
125727629012770800,2011-10-17T00:19:37Z,apple,S/O to @apple for replacing my phone for free
125722746100531200,2011-10-17T00:00:13Z,apple,Loving the new iPod update @apple
125717622728818690,2011-10-16T23:39:51Z,apple,@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
125714253452812290,2011-10-16T23:26:28Z,apple,RT @tomkeene Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/BPPJwncp
125713935344214e3,2011-10-16T23:25:12Z,apple,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
125712433087123440,2011-10-16T23:19:14Z,apple,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
125708639607599100,2011-10-16T23:04:09Z,apple,Loving my new #iPhone4S thanks @apple for #ios5
125706813583798270,2011-10-16T22:56:54Z,apple,i love this. so much. thank you @apple.  http://t.co/Ui8lOEzX
125701161926930430,2011-10-16T22:34:27Z,apple,@apple the iPhone 4s is great #genius
125699573799845890,2011-10-16T22:28:08Z,apple,@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.
125688922410975230,2011-10-16T21:45:48Z,apple,Love my new I0S5 @Apple updates. Just when I think it can't get any better somehow it simplifies my life more. That's right-it's an Apple.
125681742760771580,2011-10-16T21:17:17Z,apple,@apple Siri is amazing
125680049478316030,2011-10-16T21:10:33Z,apple,@rygurl you need an @apple iphone4S with Siri!
125677424565424130,2011-10-16T21:00:07Z,apple,"Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple"
125673004511412220,2011-10-16T20:42:33Z,apple,"just my man @apple store in @schaumburg, whoops!!!!😁"
125667241978114050,2011-10-16T20:19:39Z,apple,"So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac"
125664375364255740,2011-10-16T20:08:17Z,apple,I ♥ @Apple http://t.co/a8on3IAa
125662399217930240,2011-10-16T20:00:25Z,apple,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry
125652668080336880,2011-10-16T19:21:45Z,apple,Loving #iOS5 !! #awesome @Apple
125648027045199870,2011-10-16T19:03:18Z,apple,"RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}"
1.2564525800346419e+17,2011-10-16T18:52:18Z,apple,Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge
125643107260829680,2011-10-16T18:43:45Z,apple,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??
125633677597229040,2011-10-16T18:06:17Z,apple,@apple by far the best iPod and first time iPhone ever.... Good job guys
125633065757310960,2011-10-16T18:03:51Z,apple,Thank you Steve @apple store 5th av. http://t.co/nSAisriP
125628199269961730,2011-10-16T17:44:31Z,apple,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
125623745284018160,2011-10-16T17:26:49Z,apple,"@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done."
125618466353983490,2011-10-16T17:05:50Z,apple,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...
125610372727193600,2011-10-16T16:33:41Z,apple,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s
125608381431025660,2011-10-16T16:25:47Z,apple,I &lt;3 @apple http://t.co/ondXWpEr
125596541028282370,2011-10-16T15:38:43Z,apple,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.
1.2558560610026701e+17,2011-10-16T14:55:16Z,apple,Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D
125562428200202240,2011-10-16T13:23:10Z,apple,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
125561950376701950,2011-10-16T13:21:16Z,apple,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
1.2555013591151821e+17,2011-10-16T12:34:19Z,apple,"My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple."
125547297072357360,2011-10-16T12:23:02Z,apple,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!
125539788546781180,2011-10-16T11:53:12Z,apple,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple
125537993942515710,2011-10-16T11:46:04Z,apple,@RickySinghPT got a new backside for my eye phone! V impressed with @apple
125537578974851070,2011-10-16T11:44:25Z,apple,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things
125524107386302460,2011-10-16T10:50:53Z,apple,Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!
125523414298533890,2011-10-16T10:48:08Z,apple,"_ibertaddigital.tv/ iPad a briliant SteveJobs produck ,http://t.co/00ohfLY6
@Apple present... http://t.co/DBbWSDpx"
125501576952553470,2011-10-16T09:21:22Z,apple,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple
125501281753251840,2011-10-16T09:20:11Z,apple,@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required
125495491701125120,2011-10-16T08:57:11Z,apple,New iOS 5 update is THE BEST. iloveyou @apple
125459338524499970,2011-10-16T06:33:31Z,apple,"Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson."
125455260801179650,2011-10-16T06:17:19Z,apple,"I absolutely love my iPhone 4S. Thank you, Steve and @apple."
125423290767507440,2011-10-16T04:10:17Z,apple,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s
125416879035658240,2011-10-16T03:44:48Z,apple,"dammit, listening to siri is making me want to upgrade. well played @apple."
125407532893224960,2011-10-16T03:07:40Z,apple,"Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature"
125402636764712960,2011-10-16T02:48:13Z,apple,Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.
125402412147146750,2011-10-16T02:47:19Z,apple,@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!
125393816470568960,2011-10-16T02:13:10Z,apple,#iOS5 update submitted to @apple! Thanks for all the support!
125356807626559490,2011-10-15T23:46:06Z,apple,Awesome service from the @apple store in pc. Thanks chris!
125343429289984e3,2011-10-15T22:52:56Z,apple,RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO
125338216411828220,2011-10-15T22:32:14Z,apple,I am crazy about #iOS5 . The photo cropping is the best! @apple
125333598197911550,2011-10-15T22:13:53Z,apple,.@apple thanks for fixing this... http://t.co/wTj1ogDO
125330595302744060,2011-10-15T22:01:57Z,apple,Hell yes!!! Got my contacts back!!  Thanks @apple
125319163366473730,2011-10-15T21:16:31Z,apple,RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE
125313088160411650,2011-10-15T20:52:23Z,apple,@apple has changed life.
125309946723188720,2011-10-15T20:39:54Z,apple,Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!
125281706327552e3,2011-10-15T18:47:41Z,apple,"@jonsibley Actually, the @Apple  mouse is pretty sweet man."
125279987254300670,2011-10-15T18:40:51Z,apple,The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple
1.2526473103553741e+17,2011-10-15T17:40:13Z,apple,Finally got the @apple IPhone thanks to @sprint getting with the times
125256305647693820,2011-10-15T17:06:45Z,apple,#iOs5 is nice and as it had to be ! Thanks @Apple
1.2525218806590259e+17,2011-10-15T16:50:23Z,apple,Good support fm Kevin @apple #Bellevue store 4 biz customers TY!
125243911538098160,2011-10-15T16:17:30Z,apple,Just downloaded IOS 5. It's better than I expected! #thankyou @apple
125238017299451900,2011-10-15T15:54:04Z,apple,@Apple: Siri is amazing!!! I'm in love!
125165176772247550,2011-10-15T11:04:38Z,apple,Love love love iOS 5!! @apple
126418790706712560,2011-10-18T22:06:03Z,apple,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...
126417285559762940,2011-10-18T22:00:04Z,apple,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
1.2641691566408499e+17,2011-10-18T21:58:36Z,apple,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
1.2641610921268019e+17,2011-10-18T21:55:23Z,apple,THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE
126411162622496770,2011-10-18T21:35:44Z,apple,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5
126410591949697020,2011-10-18T21:33:28Z,apple,@apple needs to hurry up and release #iTunesMatch
126409696553861120,2011-10-18T21:29:54Z,apple,Why is  #Siri always down @apple
1.2640886438718259e+17,2011-10-18T21:26:36Z,apple,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
126408052525105150,2011-10-18T21:23:22Z,apple,"@apple AirDrop #fail - Immediate ""declined your request."" every time"
126407767132078080,2011-10-18T21:22:14Z,apple,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb
1.2640540566762701e+17,2011-10-18T21:12:51Z,apple,RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
126405185630253040,2011-10-18T21:11:59Z,apple,Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
126405040809312240,2011-10-18T21:11:24Z,apple,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
126400637930979330,2011-10-18T20:53:55Z,apple,Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple
126394680903614460,2011-10-18T20:30:14Z,apple,"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no ""Authorize this computer"" button."
126393717421645820,2011-10-18T20:26:25Z,apple,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!
126393204550537200,2011-10-18T20:24:22Z,apple,FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.
126392402083708930,2011-10-18T20:21:11Z,apple,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please."
1.2639108230820659e+17,2011-10-18T20:15:56Z,apple,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS
126389218284015600,2011-10-18T20:08:32Z,apple,@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...
126388194194362370,2011-10-18T20:04:28Z,apple,"Seriously - I have absolutely no offing clue what @Apple means by ""authorization"", nor how to do it."
1.2638802372526899e+17,2011-10-18T20:03:47Z,apple,"Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? ""You must authorize this computer…"""
126385036441296880,2011-10-18T19:51:55Z,apple,"shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild."
126382959711358960,2011-10-18T19:43:40Z,apple,. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!
126382051661328380,2011-10-18T19:40:03Z,apple,Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance
126381519513194480,2011-10-18T19:37:56Z,apple,Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity
126380588822298620,2011-10-18T19:34:15Z,apple,"I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!"
126380553464315900,2011-10-18T19:34:06Z,apple,It would be great If @Apple would send my new phone. #frustrated
126377298650861570,2011-10-18T19:21:10Z,apple,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
126375381249966080,2011-10-18T19:13:33Z,apple,"@rogerweir no but I have the option of a  replacement iPhone 4s ?
Not sure if I want one after having 2 duff iPhones.
@O2 @iphone4s @apple"
126372694118768640,2011-10-18T19:02:52Z,apple,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
126372040696541180,2011-10-18T19:00:17Z,apple,"You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?"
126363154837020670,2011-10-18T18:24:58Z,apple,removing all @apple shit.
126361483432038400,2011-10-18T18:18:19Z,apple,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
126358781633368060,2011-10-18T18:07:35Z,apple,What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.
126358301393956860,2011-10-18T18:05:41Z,apple,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
126358272084152320,2011-10-18T18:05:34Z,apple,Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise
126357580741226480,2011-10-18T18:02:49Z,apple,"@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :("
126357227727626240,2011-10-18T18:01:25Z,apple,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
126354628999778300,2011-10-18T17:51:05Z,apple,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat
126351972948393980,2011-10-18T17:40:32Z,apple,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO
126348169826148350,2011-10-18T17:25:25Z,apple,Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.
126344426854416380,2011-10-18T17:10:33Z,apple,"@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv"
1.2634393111704781e+17,2011-10-18T17:08:35Z,apple,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!
126343679785959420,2011-10-18T17:07:35Z,apple,"@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the ""newest"" model are suckers..."
