doc_id,label,train_id,text
doc05414,book,train,"I'm a romance novel addict even at my advanced age, so I've got a lot of books under my ""have read that"" belt.  And I have read just about every romance written by Elizabeth Boyle and each time wonder why I did it.  Doesn't say much for my learning curve, but there's always something about each book that I like and makes me think that the next one will be even better.  The problem for me is that the Boyle heroines have too much 21st-century freedom and are full of modern-day sensibilities and actions. This new young heroine trains spies, is an expert at picking locks, breaking spy codes, cheating at cards, understanding foreign terrain and dealing out a mean uppercut. Not that these are usual activities for a 21st-century woman, but it would be even less likely for a 19th-century female. She is also illegitimate, from the lower classes, and at the end of the book ends up married to an earl. So to enjoy this book, one must suspend logic and just go with the story, enjoying the romance and the fairy-tale ending it is bound to have. I believe a younger reader will enjoy this much more than I did."
doc06690,book,valid,this was a lovely ending to the whole series of annie groves books - despite the fact that she wasnt able to write it herself i do think the author did her proud -  the only problem i did have with it was it went over old ground and reminded you a tad too much of what went on in the other books - seeing you really have to read the whole series for this book to make any sense i didnt see the point  but all in all i really really enjoyed the whole series of following this family through the war.. would recommend it
doc01833,book,train,"this book is based on total hypes. It's sad that so many people nowadays try to change this  nation into communist or socialism ( same role, just different name) not really knowing the truth, just based on some political ideology that human history had repeatedly  proved to be failed.  In fact communism is the worst political system that ever presented on earth.1989, Tinamen square, a million chines college students marched to protest against their communist government of oppression: it was broadcasted all over the world, they were asking communist government to give them ;freedom for speech, media, business, religion, true-democracy( not like few communist party people controlling) by election. Sooner the communist government sent them tanks and guns and indiscriminately shoot them and ran over with tank. Whole world watched through television broadcast.Now some ignorant Americans already forgot about this just 20 years ago's brutality that we watched with our own eyes, want to change this great nation into communist?Because of its brutality, I escaped from that regime. And I  am happy to be in this country where human freedom is mostly respected, and protected. Communist lies saying every one shares equally: In fact only, those few comrades who caused the shift of power enjoy the wealth and power, but the rest of the general citizens have no equality nor basic human right. Any one speak against government---disappear next day to ""concentration camp"" w/o fair trials nor justice. Communist shut down all religious freedom, or freedom of speech ( all medias are government controlled) Communists deny any form of gods but instead, they set the status of Stalin or Ma chiding, or Kimjung ill, and have to sing songs and salute for them, worship them.  From elementary children to elders... Anyone dares to go against the government, ---labor camp!  Several millions who stand  for their freedom were killed brutally  in early 20th century, during the communism overturn. ,Research the communism nations' history. All the nations turned into  communism fall into worst human rights and economic state from their establishment. Any communist countries in the history ever get better as decades go by?China is the only seemingly doing well now. Why? because from 10 years ago, they realized communism was failed with extreme poverty, started to adapting the partial capitalism into their system-free competitive capitalism. That's the reality people. Stalin communist government killed 90 millions including the vicinity nations that were turn into communism, Macho-tong communist killed 100 millions, 2 millions by North Korea, by Cambodia each, 2 millions in Africa, 200,000 latin America..so on . But most of all they all became terribly poor after communist regime,oppressing the free capitalism, except China, because they started to adapt the partial capitalism from 10 years ago after they realized the harsh economic state. Now history tells also other evil regime; Hitler killed 6 million jew with other 4 million of Europeans; Japan' imperialism killed 20 million Asians during WWII, ..so on.Men can't govern themselves. They always proved to be failed again and again throughout the history.If USA turned into communism, the power will shift  to only those who hate the existing American system. They  secretly controlling communicast-medias ( I already see it happened ) and brainwashing the youth with distorted  facts in textbooks  last 20 years. They keep change their names, their activity, and theory. Why? if they openly speak up, they know they will fail because any normal mind people will see the deception and its perversion. Look at these behind scene head members:They are  mostly angry people with extreme hatred. Before you get associate with these kinds, study the actual communism history and the result of those countries over last 100 years.  then you might understand why people escape from those communist countries despite the danger of their lives, come to USA.  Americans seem so ignorant ,  don't even  know what kind of freedom or dreams that anyone can pursue if they want. I can't believe how americans are lazy and stupid (sorry for my expression) not protecting their precious freedom and the wealth that whole world envy. Pretty sad to see this great nation is stumbling by the smooth, deceitful talking,  present government and together with mostly blinded, deceivedmajority. My last word: America wake up and protect what your forefathers gave to you. Don't get robbed by those haters of your wealth and power. If America had been  the most wealthy and liberal nation in the whole world so far, doesn't it already proved what you have is the best national  system already?Do you have to be a rocket scientist to see this simple truth? Don't be deceived"
doc02685,book,valid,I returned this book because it was not in large print . I really wanted to read this book itsounded very good.
doc07165,book,valid,"Goenka Rocks!If you haven't yet, go take a 10 - day course.  Don't read about it, just go.  Nothing can replace the actual experience of taking a course.  I rate the courses 5 stars, for sure!This book is good, and a great compliment to the course.  But, really, just go and sit for 10 days and you'll see what I'm talking about."
doc03224,book,train,"When I started this book I thought - Wow, this is totally different than what I thought it would be from the title. After all of the characters come into play and they all get together at the sister's house, it starts to drag. The book definitely needs more action and a better ending. But, hey, that is just me!!! This one does not inspire me to purchase more from this author!!!"
doc02746,book,train,"This is one of the smoothest books I have ever read, especially in the realm of what gets called ""horror.""  I looked into the author because I saw she had been nominated for a Bram Stoker Award (which are usually really good).  I wasn't disappointed.  There's enough on the book flaps and reviews to tell you what the book is about, so I won't repeat it all here.  Suffice it to say this is a compelling, interesting and not-very-cliched book.  Author has a voice unlike anyone I have ever read."
doc02616,book,valid,"Jim Wallis has produced an important document for Christians considering their place in the political process. Although the content is a bit repetitious of his 2005 book, God's Politics, Wallis makes a strong case that there is a growing Christian revival happening in our politics and that Christian beliefs can no longer be claimed solely by the Republican party. In fact, Wallis sets forward an excellent argument that the issues of abortion, gay marriage and family values that have been championed for so long by the Religious Right are not the only issues on which to judge the morality or beliefs of a candidate or party. Wallis argues that Jesus would want us to look at additional issues such as poverty, global warming, environmental stewardship and a consistent culture of life as we decide who to support. He clearly explains why Christians should be involved in secular culture, yet should never be co-opted by any one political party or organization. In short, he suggests that voters take the time to determine which candidates overall stance on the issues best fits within a system of Christian ethics and beliefs. As an example, candidates who support continuing an unjust war, devaluing life through the accepted use of torture or expanding the death penalty may not be the best choices for a voter who believes in a consistent culture of life as expressed in the teachings of Jesus."
doc08764,book,train,"I just now finished reading the celebrated/notorious ""foie gras"" section; as a Francophilic reseller checking prices for this title, I noticed some of the reviews and got curious.For all I know the large-scale editing could be better (or the book might be intended to stand as chapter-independent), but the 5-6 pages I read were quite well crafted, with varied and sensitive sentence pacing and inclusion of many insightful details.If you can't get from one end of a compound or (perish the thought) complex sentence to the other, like so many young video-game-deranged ADHD cases apparently have trouble doing, this lovely slice of a beautiful if hard way of life will probably be too taxing to enjoy.But for seasoned readers, it's a delectable offering as far as I've seen (and it's fun to handle a book with traditional, ragged page signature edges for a change).Foie gras production seems a pretty inhumane business (although geese do gorge naturally), but non-vegetarians won't be learning anything totally new about how the other half lives.  The people are wonderful and real.  I wish I too could visit the area, as one reviewer said she did, before it becomes part of a bygone age!P.S.  Anyone generally interested in the proud and warring nations of France and Paris are encouraged to read ""Fragile Glory"" by Bernstein, a former NY Times Paris Bureau Chief -- it's delightful and informative!...."
doc01370,book,train,"&quot;Rum Punch&quot; is Elmore Leonard's top-notch black comedy about a group of people all after the same thing: money.  Funny, action-packed and occasionally even heart-pounding, the basis for 1997's &quot;Jackie Brown&quot; is a highly recommended novel."
doc03791,book,train,Always love this series.  My 5 year old can read these easy books. The cute pictures and funny stories keep it interesting.
doc04099,book,train,"Toews is a quirky Mennonite writer that draws upon her faith community's culture and eccentricities to blend in with her contemporary fiction. She excels at dialog but this failed to grab me. Felt like i was plodding through pages...sorry, wouldn't recommend."
doc07240,book,train,This book was recommended to me by a friend who has well over 200 cook books. She said that she used this book often and it consistantly yielded good recipes and good results.
doc05545,book,train,"Love, love, love this book.  Another steller novel by Molly Mcadams.  You will feel the torment of KC and Brody as they try to stay apart.  And all the battles that true love conquers.  Great read."
doc08009,book,train,"ncheonette is first and foremost a memoir - the life of young Steven and the ways in which he deals with his father's failing health, which precipitates a major shift in Steven's life.  The story is told with great humor and vividness, bringing us into the life of an Italian family in suburban New Jersey.But more than a story of place, this is a story of coming to terms with what life brings us.  To paraphrase an old phrase, if you are dealt lemons, then make lemonade.  As Luncheonette so adeptly points out, this is easy to do in theory, but a lot more difficult to do in practice.  Steven was lucky in that he had a great role model in his father, but even with this guidance, the road is not an easy one.Luncheonette is a quick read, one that you will not want to put down once you have started it.  It is not a deep book, but its message is very important and relevant to each of us as we face life's changes and challenges."
doc00132,book,valid,"While Pinkalicious and Purplicious were fun read aloud books for girls with a nice lesson, this one falls flat.  I was expecting a story about a unique golden-haired girl, friend to the previous book characters, but found it to be instead about a pretend unicorn. ((Yawn)) The story is predictable, lacks cuteness and originality and ends abruptly.  The author, editors and publishers must have been sleeping to let this one fall through the cracks and was banking on the popularity of the first two books to make the sale.  Sadly, I fell for it."
doc00570,book,valid,"This is probably the sixth book I have read about the &#34;Lowcountry&#34; and it too is amazing. What a unique writer's point of view. An excellent read about two families, one in the present and the other in the past all wrapped up in true history. Tragedy and recovery. Total insight into human nature filled with everyday advice and a pecan pie when needed. I highly recommend."
doc00173,book,train,I could not put this one down! It made me cry and parts of it brought back some nasty times in my own childhood..I could so relate to Vanessa and her struggles for approval from the ones who hurt her! I found myself rooting for her and praying for her to get a break the whole way through the book..I'm so glad you overcame your past Vanessa..God bless you!
doc03780,book,valid,"Grace and Sophie- two peas in a pod.Best friends till the end.And now, partners in crime!One night during their sleuthing, things get real! And Sophie and Grace stumble upon a mystery that could put them both in danger. Something is off about Dr. Agford, the school counselor. And it's up for Sophie and Grace to figure it out.Can they solve the mystery before they lose the most important things of all- their friendship and possibly their lives?Wow.So I should probably start off with the fact that I know the author. We're friends. And now, after reading The Wig In The Window, I'm a fan. A huge fan.Grace and Sophie come alive on the pages. Their mannerisms and easy going dialogue flow naturally and showcase the best and sometimes, worst parts of each other. I love Grace's sharpness and fearlessness and Sophie's vulnerability and self doubt. They are a perfect pair, balancing each other out in the best ways possible.The mystery is a fun ride with a lot of twists and turns. Seriously, I was reading and thought a couple of times I knew what was going on, only to be surprised!And while the mystery is intriguing, and moves along quickly, that's not the real reason I love this book.It's the heart.It's Sophie's heart, Grace's heart. Their friendship and devotion to one another. All friendships are tested and Kittscher does a great job of writing authentic challenges that any friendship will encounter, and hopefully overcome.Overall, a fun and exciting mystery filled with surprises, friendship and...wigs!I'm excited to read the sequel!"
doc06315,book,valid,"I loved this book so much that I don't even know what to talk about first. Have you ever read a book that was so enjoyable that you didn't want it to end? That's how I felt about Fan Art. It was such an ADORABLE story that was thoroughly entertaining.I loved everything about Jamie. He was beyond cute and adorable, and just so confused. Jamie is gay and is out at home, but not at school, and definitely not to his best friend, Mason. Jamie had to hide the huge crush that he was developing on Mason because he was terrified what the truth will do to their friendship. Jamie was a little clueless and quite naive at times, and he really tried my patience more than once because I wanted him to have the confidence to admit how he was feeling. But I still found myself laughing and groaning and tearing up just a bit as Jamie struggled with coming out to Mason.Jamie had the best parents ever! They were so supportive and encouraged him to be himself. His step father even threw him a coming out party! How cool and utterly awkward is that? And just wait until you read about how he acted around his 2 little sisters. The cuteness might just make you swoon! Jamie also had the best guy and girl friends that anyone could ask for. They were always ready to lend an ear and offer advice, even if Jamie wasn't ready to hear what they had to say. You could tell they really just wanted him to be happy. Of course, what would high school be without a bully? Jamie attracted the attention of one of the meanest homophobes in school who finds joy in going out of his way to make Jamie's life hell.One aspect that I really liked was Jamie working on the school's literary magazine. Because he had a hand in choosing the content, we got to see the students' poems that were submitted, which I especially enjoyed. I also really liked the short story fan art that turned out to be so controversial and spurred Jamie into wanting to take action.I thought the romance was so worth waiting for. Jamie and Mason had been friends for years. They were so comfortable with each other and it was nice to see how well they got along. I could never tell if Mason somehow knew Jamie's secret all along, so it kept me guessing as to how and when things would progress between them.My goodness, the cuteness factor in this book is off the charts! I adored Jamie and Mason because they were SO easy to like. I loved the complexity of their relationship, and how the underlying tension between them made things so awkward at times. Their story was light and heartwarming, a bit clich&eacute; at times, but still very entertaining. I was satisfied with the way the story played out, and even though it was a bit predictable at times, I still loved every second of it! No doubt this book will leave you all warm and fuzzy inside with a big smile on your face. At least it did me!"
doc02123,book,train,Very interesting book. Dr. Arnot  is very clear in his explanation of the Aztec diet and it can work. You have to stick with it.
doc01772,book,valid,"Perhaps I'm just very sensitive to the topic of cancer and general, and despite the fact I realize humor has it's place in cancer treatment, as well as treatment of the whole person, I did find offense to a few aspects of this book.  The author obviously has dealt with this trial first hand and knows the importance of tactfulness in such situations, however I felt saddened by it at times and wonder if it would also sadden a newly diagnosed cancer victim.I would recommend this book for someone that has a good support group, knows the monster they are dealing with, and is strong enough and ready for humor."
doc01394,book,train,"This book helps you understand your value as a person and in every area of your life including to your employer and income! I read the book and worked the principles, and got promoted about 9 months later! The important thing is to ""stretch"" and move into money power and peace! I also highly recommend The Total Money Makeover workbook by Dave Ramsey!"
doc03091,book,train,"In this fun new novel the reader gets to experience the outrageous world of professional modelling through the eyes of newly discovered model Melody Ann Croft.Melody is just a normal kid from New Jersey, working as a waitress during her last summer before going away to college. Then one night a professional photographer happens to have dinner at the restaurant where she works. He thinks she has potential and gives her some contacts which turn out to be top modelling agencies in Manhattan.After some indecision she decides that she has nothing to lose and calls some of the numbers on the card. The photographer's name is enough to get her interviews at several top agencies. The first one she visits immediately snaps her up, they think that she has ""it"", that elusive quality that means success. She is immediately thrust into the competitive and frantic world of professional modelling.It's an eye opening experience. There are ugly sides to the new world that she finds herself in. She has to lose weight, of course, and it is difficult to maintain the waif like appearance that is demanded by most clients. The other models are fiercely competitive and some are downright mean. Then there is the ever present drug use. Melody is a strong girl with a solid middle class upbringing, so she is grounded and able to resist the temptations around her, but she still learns some difficult lessons.Supermodel Carol Alt has written a fast-paced, fun novel that gives the regular person a peek into the inner workings of an industry that most of us will never experience. I know that I'll never look at a glossy fashion advertisement the same way again!"
doc05741,book,valid,"This novel, what ever name you use, is follow up to BITTER TRUTH and it's hero Victor Carl.  I will go on to the third book.  I loved BITTER TRUTH, I like Veritas.  SOO much info to try to absorb.  A little too long and too complicated, could have been edited down to a much more reasonable read.  Victor Carl is a good character.  Start with the first novel."
doc04666,book,train,"I really expected to like this one: campus setting, mysterious archeological  finds, shy freshman coming out of her shell with seductive new friends, dark rituals--what's not to love? Unfortunately, the writing was the problem. The dialogue is too often stilted, the prose is clunky with lines like,'&#34;Damn,&#34; Magda swore aloud.' There is just too much telling and describing, and that ruins the pacing as well as the immersiveness, (may have just made that word up), of the story.I just couldn't get involved enough with Sweeney and her friends, which is a shame because with Moon Goddesses and Benandati and moonlit passion, it seemed they did have quite a story to tell."
doc03178,book,train,"I Loved Codex but this book was too wordy, confusing and filled with too many theories.  I'm not giving up on your other books Jose. Just waiting for them to be translated into English"
doc03731,book,train,"Romance and time-travel combine to form a powerful knockout of a book.  Jen's characters are very believable, likeable, and intriguing. The plot is pleasantly puzzling and will hold your interest  until the bittersweet  ending.The plot is strengthened by the use of real history laced  throughout the storyline. A magical combination of devices and craft Are  employed by Jen  Making it impossible to tell it is her first novel - a  remarkable accomplishment !I'd have to say that this is the best  time-travel book I've read in several years.Leslie BlanchardEditor A  Writer's Choice Literary Journal"
doc06488,book,train,This book makes a great gift.  The pictures and captions are hilarious.  There is really a postcard for every situation.  I would definitely recommend this book.
doc07860,book,valid,"Ok...I'll give almost anyone one star for merely being able to get a book published.  Sorry in this case I think it was more like half a star!  The story idea was good, but the writting was too simplistic, some of her details I could do withought like all the smoking and the color of peoples teeth.  Sorry I read it to the end, I try to do that with every book, and the end was greatly disappointing as well.  I've read no other work by this author, but this may just stear me clear if this is an example."
doc08291,book,train,"I enjoyed this book.  I'm a fan of Wendy Corsi Staub, and she does not disappoint in this one.  There are a lot of plot twists that are slowly revealed, which made me want to read more and find out what happens next.  I didn't want to put this one down, almost right from the start.  I was very interested with how the plot developed, and I learned a lot about Catholicism that I didn't know.  I would definitely recommend this to anyone who enjoys a good mystery/thriller."
doc06251,book,train,"I have been involved in the publishing industry for some time, and I know the worth of the &quot;official&quot; reviews for most major review publications, particularly the anonymous ones.  I hope Sean knows how completely corrupt and worthless the review process is, with the majority of &quot;good&quot; reviews tied to advertising revenue or the lack thereof, or simple desire to scratch each others' backs.  I only say this because while there are some factual errors or a few pieces of information that are exaggerated in DELIVER US FROM EVIL, Sean Hannity does not use &quot;circular logic.&quot;  He may overstate his case (and he does, on several occasions) but he doesn't fail to make his case.Those who have seen The Passion of the Christ (or who've read the original book) can recognize some of the behaviors and attitudes Sean discusses in this book in Pontius Pilate.  Pilate is a &quot;pragmatist&quot; appeaser who destroys his own worth while trying to play each side against the other.  &quot;What is the truth?&quot; Pilate asks his wife.  One doesn't have to be a Catholic (and I am not) to understand the idea that in the absence of good, evil flourishes.A very different person from anyone quoted in Sean's book said that &quot;the second half of the 20th century will be remembered as the one that took us to the moon, then spent the next thirty years languishing in low earth orbit . . . at the core of our risk-free society is a self-indulgent failure of nerve.&quot;  The great astronaut Buzz Aldrin said that.The official &quot;liberal&quot; politicians and what passes for commentators in their environment might be surprised to know of the contempt they've aroused among their own constituents.  I am a college professor, and I work with very diverse classrooms.  Most students after a time, come to realize that I am a Christian, and they might guess I'm pretty conservative too, although my views are never imposed on the classroom, nor are students ever downgraded for their own beliefs and opinions. Just as Sean gives the example of Churchill's statements about the German people (the British were not enemies of the German people, just their leaders), so too it is true that regular &quot;liberal&quot; people are not evil.  But Sean makes a pretty good case that liberal leaders are at least the Pilate type of evil.It is very evil to ignor the truth about the Islamic terrorists. Their evil not only endangers America, but also the great majority of the Islamic world, people who don't believe as they do, and who believe in a great and wonderful religion that's been twisted to serve evil purposes.  There also comes a time when any intelligent person can say that we should learn from the past -- the mistakes of Vietnam, the mistakes of being supportive of and involved in cruel totalitarian regimes over the years, as well as the courage and conviction of Winston Churchill in the face of ultimate evil -- instead of constantly denigrating, downgrading and destroying the esteem that we have as a nation.Right now my students who'd ordinarily be voting as &quot;liberals&quot; are just disgusted by the current group of campaigners and they aren't convinced by statements made by supposed &quot;leaders&quot; like Sen. Kerry -- I turned on the TV the other day and heard him intoning in that death-knell voice, &quot;This Pres-I-Dent is the worst Pres-I-Dent in the last EIGHTEEN PRESIDENTS.&quot;  Well, there's some logic for ya.  That he or anyone would actually think this would &quot;go over&quot; with anyone is beyond comprehension.My grandfather always told me, &quot;Nobody's candle ever burned brighter because they try to snuff somebody else's candle out.&quot;  See, the reason I have to give Sean's book four instead of five stars is that it is very current and topical and I don't think the situation we face today is very different from the situation people have faced throughout history.  I think things are, in general, getting better and not worse.  I don't even take very seriously the idea that the ultra negative campaigning and almost absurdly hysterical accusations that I see on TV could have a positive result.  I heard a little story about former California Governor Gray Davis the other day.  One student had a friend who was a high official on Davis' election team.  In the election prior to the recall, LA Mayor Richard Riordan had been running as a strong candidate.  He was so smeared in the press by Davis' team that he pulled out of the race, leaving a less-qualified candidate, Bill Simon, to run.  Davis beat Simon, and when the student asked his friend, &quot;Isn't Gov. Davis afraid if he's so dirty about other candidates, people will turn against him?&quot;&quot;Davis has $16 million in the bank and he's the incumbent.  He's not worried about anything and he says what he wants.&quot;Well, so much for that wisdom.  Sean Hannity's book is, sad for the people who are putting our country's well being, happiness and future at risk for their own personal gain, pretty true and pretty factual.  I think this book would be very valuable for those who need to be reminded of their history lessons.  The only lesson I'll remind people of is that I was a young woman (who did the CA Reagan Country poster, too . . . yes, a &quot;Young Republican&quot;) and I remember when President Reagan was called &quot;senile,&quot; &quot;insane,&quot; and supposedly crazy enough to set off a nuclear war just for &quot;general purpose.&quot;  Somehow we were supposed to believe that this brilliant, ethical leader was a brain-damaged, yet murderous monster.  I hear the same stuff now about Pres. Bush and it's said by the same people.  I was also reminded by a friend that a similar type of extreme dirty campaigning and rhetoric occurred during the death throes of the Whig party &quot;back in the day.&quot;  It's not that I don't think people should be vigilant -- we should all participate -- but just that, well, I give Sean 4 stars instead of five because not so vigorous a defense is needed.  It's kind of like playing chess against a chimp.  Only with blind luck is the chimp going to score any points, and it's the decision of the person playing him whether he is going to win or lose."
doc06385,book,train,"Blarg. I wrote my &quot;Thief of Time&quot; review under &quot;Sacred Clowns&quot; forgetting which book I was reviewing. So I'll keep this short. Thief of Time is often considered Hillerman's finest work in his Southwestern Mysteries, but I found it less satisfying than &quot;Blessing Way&quot; and &quot;Sacred Clowns.&quot; In brief, Hillerman seemed to lose control of the book about halfway through and fell victim to the lazy writer's prop of killing a character to inject drama into the story. There were just too many deaths in this one and it contributed to a general lack of focus in the later chapters. And, as usual, I cared a great deal less about the Crime and the Criminals than Leaphorn and Chee. Hillerman's crooks and murderers just aren't fleshed out very well. The motivation in this case was an excellent one--but far too psychologically deep to hang on such a paper-thin character.So there. I love reading Hillerman as much as the next man, but I'm not blind to his faults, the most prominent of which is on glaring display here--he has trouble with the resolutions to his stories, creating a deep, layered mystery, and then wrapping it up in an action movie style that just doesn't fit the earlier parts of his book.RstJ"
